bidder_id,payment_account,address,outcome
0d0b3d6dc27d0f8eed70971f8c6bec1bdrs0f,5ebce1ffc6522580bc259f07267db048iffso,ccb7793673e7815143faf6e5a0741a48ayi6e,0
a22fdc066a738070c6e4860924d06657hengu,82eb4cc834e4a54966cface1db3743e3e6n3r,a4b537419b53270759680e72232caeb9jnqc1,0
d6d3daba4bea632d7f5a4e2c5146f109dkd4m,a3d2de7675556553a5f08e4c88d2c228w1ktf,f83eb9ddf235f43bada7e09f3996e802n1j8m,0
1476226300a93d22b15253ed7339429a7ijk0,a3d2de7675556553a5f08e4c88d2c228yd4f4,a3d2de7675556553a5f08e4c88d2c228z6lmo,0
975dd5178d34453c1c3c8edc47cf44274uv5s,be0aa2520de962e5296a6d502232dcf44yhl7,2afd0c1fe23742a87d60ef83d308363bxhosq,0
95fede5853bfffda8f50f6af494ff1d1hsgie,489e7e52ea05c98ddf786c87c7f85575u5192,e3610ca6c35553a422481d4b43df8d189unvo,0
2a7d1f9483d34546c4d099e36e3a79790qvjm,a3d2de7675556553a5f08e4c88d2c228umhlx,8557f4faa59059abe912018abc4e1a22wnxhp,0
d36857d18a397e7e24d05dcbef3b919ftjstv,a3d2de7675556553a5f08e4c88d2c22805me4,e719ac065fb2ecdbf4aa7300db898fd60ilu2,0
c62bac5be6489bc0e0a7834a11167171c8ww3,fb2ab1d04077811291682bc157ff5928nja3g,7aea7e8f0c8cde7d0162ee1eb904ca7blyxqr,0
98783b6bd490f32f56c315307643c824nimw1,a3d2de7675556553a5f08e4c88d2c228no9d3,a3d2de7675556553a5f08e4c88d2c228e1ygc,0
29cc13d48af9832e0eb481c8a095fec7mom74,ee110026a946fc1550df647c2b92e111amivp,e5fbc3769df799a7f5d2d7ff6717b70d0sskj,0
342f22fed8b1e90c6ff1a6b7bd80f6334w094,a3d2de7675556553a5f08e4c88d2c228flpcx,06d5cb79a334eb89ad3dcaa43aded698v2av6,0
608d9b68afb12c6c27da6c6565ffe8297wvco,a3d2de7675556553a5f08e4c88d2c228o8hjn,d72896063c8e50e6a703210370d7f5b19b8b6,0
c0e1ecd40b81bda3b7dcec501334499dgzq17,a3d2de7675556553a5f08e4c88d2c2288o9u1,a3d2de7675556553a5f08e4c88d2c228rv2j2,0
